Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Recovery Goal,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
1623,Salmon Creek Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Fall-Run Chinook,,,,,,Not currently monitored.,,,Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1008,North Fork Nooksack Chinook (including Middle Fork Nooksack River),Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Nooksack Basin Chinook,"EG = 2,000; (Upper mgmt threshold = 2,000 spawners; Low abundance threshold = 1,000 spawners.)  Critical ER ceiling = 9% SUS",Ref 2,RER being developed,This is a native stock with composite production. A supplementation program designed to increase numbers of North Fork Nooksack Chinook has been underway at Kendall Creek Hatchery since 1980.,"North Fork Nooksack Chinook were identified as a stock based on their distinct spawning distribution, early river entry timing and spawning timing, and by differences in genetic composition. The TRT used geography and environmental information as rationale for including the middle fork in the north fork population for recovery efforts.","Data are total escapement estimates based on carcass and redd counts in the North Fork and Middle Fork drainages. A stock re-building program using native broodstock was started at Kendall Creek Hatchery in 1980. Escapements have increased as a result, but the natural-origin spawners are still doing poorly.","Most spawning takes place in the North Fork Nooksack River from Mosquito Lake Road (RM 44.8) up to RM 63.9. Approximately 88% of recent spawners have been returns from the Kendall Creek Hatchery rebuilding program (including off-station releases at acclimation sites). Carcass recoveries (and spawning locations) correlate with release locations, so upper basin releases are influencing the primary spawning locations. Spawning also occurs in the lower North Fork. Various tributaries are also used, including Canyon, Racehorse, Boulder, Maple, Cornell, Deadhorse, Thompson and Boyd creeks. Spawning also occurs in the Middle Fork Nooksack, including Canyon Lake Creek. Fish released from the Kendall Creek Hatchery program are known to stray into the South Fork Nooksack.",Allozyme analysis of North Fork Fork Nooksack Chinook showed them to be genetically distinct from the South Fork Nooksack Chinook and from all other Washington Chinook stocks examined (Marshall et al. 1995).,Julie Klacan,Julie.Klacan@dfw.wa.gov,09/08/2016 06:48:22 PM
1056,Upper Sauk Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Skagit Basin Chinook,"Upper mgmt threshold = 986.  Low abundance threshold = 130.  For all Skagit spring Chinook populations combined: EG = 3,000, Rebuilding ER = 38% (total), Critical ER ceiling = 18% SUS.",Ref 2,"Low abundance threshold for all Skagit spring Chinook combined.  Critical ER ceiling is for all Skagit spring Chinook combined.  Upper mgmt threshold for all Skagit spring Chinook combined=2,000.",This is a native stock with wild production.,"Upper Sauk Chinook were identified as a stock based on their distinct spawning distribution, spawning timing and genetic composition.","Data are total escapement estimates based on redd counts in the mainstem Skagit River from the town of Darrington up to the forks (RM 21.2 to 39.7), in the North Fork Sauk from the mouth upstream to the falls and in the South Fork Sauk from the mouth to about RM 2.5. A new escapement methodology was developed beginning in 1994. Expanded cumulative redd counts are thought to represent the total spawner population better than peak live plus dead counts which were used prior to 1994 (Pete Castle, WDFW, personal communication). The new estimates are not comparable to the estimates in the 1992 SASSI.","Spawning takes place in the Sauk River, primarily from Darrington up to the forks and in the lower reaches of the North and South forks.","Allozyme analysis has shown that Upper Sauk Chinook are not genetically distinct from Upper Skagit Mainstem/Tribs.  Upper Sauk Chinook are, however, different from all other Washington Chinook stocks examined (Marshall et al. 1995).",Brett Barkdull,Brett.Barkdull@dfw.wa.gov,09/20/2016 10:03:24 AM
1081,North Fork Stillaguamish Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Stillaguamish Basin Chinook,Upper mgmt threshold = 600.  Low abundance threshold = 500.  For both Stillaguamish Chinook stocks combined: Rebuilding ER = 25% (total).,Ref 2,Low abundance threshold for both Stillaguamish Chinook stocks combined=650,"This is a native stock with composite production. A hatchery supplementation-based recovery program for North Fork Chinook was initiated in 1980. This program continues today with an annual goal of 200,000 fingerlings released. Although total spawner abundance has increased, the estimated numbers of naturally produced spawners remains at about 400 to 600 fish anually (Puget Sound TRT abundance and productivity tables), which is cause for concern.  Green River-origin Chinook were released into the North Fork Stillaguamish nearly every year from the early 1950s through 1974.","North Fork Stillaguamish Chinook were identified as a stock based on their distinct spawning distribution, early spawning timing and genetic composition.","Data are total escapement estimates based on redd counts in the entire North Fork Stillaguamish basin.  As of 2007, data are total escapement estimates based on total redd counts from aerial, foot and float surveys on the North Fork Stillaguamish River, Boulder River, Grant, Deer, Brooks, French, Segelson, Squire, and Brown Creeks.  Flight surveys are conducted on the NF from RM 0.0 to 30.0.  Total new redd counts are multiplied by 2.5 to estimate number of fish.  Total visible redd counts from flight surveys are used to calculate redd curves for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable.","Most spawning takes place in the North Fork Stillaguamish River from the mouth upriver to RM 34.4, especially between RM 14.3 to 30.0. Spawning is also observed in the Boulder River (RM 0.0 to 2.9), Squire Creek (RM 0.0 to 4.0), French Creek (RM 0.0 to 2.9), Deer Creek (RM 0.0 to 1.5), and Grant Creek (RM 0.0 to 0.4). In years of higher stream flows, spawning can also take place in smaller tributaries including Rollins, Ashland, Furland, Brown`s, and Fortson creeks.","Allozyme analysis has shown that North Fork Stillaguamish Chinook are genetically distinct from the South Fork stock (Marshall et al. 1995). North Fork Chinook more closely resemble Skagit basin Chinook stocks than do South Fork Chinook. About 11,000 years ago, the Sauk-Suiattle river system flowed into the North Fork until glacial erosion lowered the divide between the Skagit and Stillaguamish basins, and the Sauk-Suiattle became a tributary of the Skagit (Marshall et al. 1995).",Peter Verhey,Peter.Verhey@dfw.wa.gov,05/18/2010 12:00:00 AM
1083,South Fork Stillaguamish Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Stillaguamish Basin Chinook,"Upper mgmt threshold = 300.  Low abundance threshold  undefined for stock.  For both Stillaguamish Chinook stocks combined: Rebuilding ER = 25% (total), Critical ER ceiling=15% SUS.",Ref 2,Low abundance threshold for both Stillaguamish Chinook stocks combined=650,This is a native stock with wild production.,South Fork Stillaguamish Chinook were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on redd counts for the entire South Fork Stillaguamish basin.  As of 2007, data are total escapement estimates based on total redd counts from aerial, foot and float surveys on the mainstem Stillaguamish and South Fork Stillaguamish rivers, and Pilchuck, Jim, Siberia, and Canyon Creeks.  Total new redd counts are multiplied by 2.5 to estimate number of fish.  Total visible redd counts from flight surveys are used to calculate redd curves for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable.","Most spawning takes place in the mainstem and South Fork Stillaguamish and in Canyon, Jim and Pilchuck creeks.",Genetic analysis has shown that this stock is genetically distinct from the North Fork Chinook stock. It is more closely related to Snohomish basin Chinook stocks than is the North Fork stock (Marshall et al. 1995).,Peter Verhey,Peter.Verhey@dfw.wa.gov,05/18/2010 12:00:00 AM
1106,Skykomish Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Snohomish Basin Chinook,"Upper mgmt threshold = 4,600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.",,Low abundance threshold for both Snohomish basin Chinook stocks combined=15% SUS.,"This is a native stock with composite production. Green River-origin Chinook were released from Wallace Hatchery. However, that practice has been discontinued, and only Wallace River Chinook are now released.",Skykomish Chinook were identified as a stock based on their distinct spawning distribution and genetic composition (Puget Sound TRT 2001).,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys plus Sunset Falls passage. On the Pilchuck, Sultan, and Wallace rivers and Elwell, Wallace, Bridal Veil, and Olney creeks, multiple MRC (marked redd censuses) are used to count all new redds. On the mainstem Snohomish, Skykomish, and North Fork Skykomish Rivers, total visible redd counts from flight surveys are used to calculate redd curves (""AUC"" method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd-life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males). Counts of Chinook passed above Sunset Falls on the South Fork Skykomish are then added.","Spawning takes place throughout the mainstem Skykomish and Snohomish rivers. Spawning also occurs in the Pilchuck River, Wallace River, Bridal Veil Creek, Sultan River, Elwell Creek, and in the North and South forks of the Skykomish, including spawning areas above Sunset Falls on the South Fork.",Allozyme analysis has shown that Skykomish summer Chinook are genetically distinct from all other Puget Sound Chinook stocks examined (Puget Sound TRT 2001).,Peter Verhey,Peter.Verhey@dfw.wa.gov,05/18/2010 12:00:00 AM
1108,Snoqualmie Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Snohomish Basin Chinook,"Upper mgmt threshold = 4600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.",,Low abundance threshold for both Snohomish basin Chinook stocks combined=15% SUS.,This is a native stock with wild production.,Snoqualmie Chinook were identified as a stock based on their distinct spawning distribution.,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys. On the Tolt and Raging Rivers, and Tokul Creek, multiple MRC (marked redd censuses) are used to count all new redds.  On the mainstem Snoqualmie, several total visible redd counts from flight surveys are used to calculate redd curves (""AUC"" method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males).",Spawning takes place throughout the Snoqualmie River and major tributaries including Raging and Tolt rivers and Tokul Creek.,Allozyme analysis has shown that this stock is genetically distinct from all other Puget Sound Chinook stocks examined (Marshall 1997).,Peter Verhey,Peter.Verhey@dfw.wa.gov,05/18/2010 12:00:00 AM
1160,Green River (Duwamish) Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Duwamish/Green River Chinook,"EG = 5,800.  Upper mgmt threshold = 5,800.  Low abundance threshold = 1,800.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",Ref 2,,"This stock is a native stock with composite production. Broodstock for the original Soos Creek hatchery chinook program in this watershed came from native Green River adults either captured on the river or diverted into Soos Creek by a weir placed across the river near the mouth of the creek in the early 1900s. Eggs from out-of-basin hatcheries have occasionally been imported to supplement eggs takes at Soos Creek, but the hatchery stock has remained, to a very large extent, a local Soos Creek stock. There is a significant amount of genetic interchange between wild and hatchery-origin chinook that return to the hatchery rack and are spawned each year, and conversely, between stray hatchery adults and wild fish that intermingle on spawning grounds within the basin.",Green River (Duwamish) chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to RM 61.0, and in Newaukum Creek from RM 0.0 to 3.9.",Most spawning generally takes place in the mainstem Green River from RM 23 to 61.2 and in the lower six miles of Newaukum and Soos creeks.,"Allozyme analysis has shown no significant difference between Newaukum Creek natural spawners and Soos Creek hatchery chinook. Green River mainstem natural spawners have not been analyzed. Soos Creek Hatchery chinook were also not significantly different from Issaquah Hatchery chinook, Skykomish Hatchery fall chinook or Marblemount Hatchery summer/fall chinook (Marshall et al. 1995, Marshall 2000).",Nathanael Overman,Nathanael.Overman@dfw.wa.gov,04/20/2015 02:58:21 PM
1176,Puyallup Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Puyallup River Chinook,"Upper mgmt threshold = 500 (South Prairie Creek only).  Low abundance threshold = 500.  Recovery ER = 50% (total), Critical ER ceiling = 12% PT SUS.",Ref 2,,"This is a stock of mixed origin with composite production. There were extensive releases of non-native hatchery chinook stocks including stocks from Hood Canal, Deschutes, Minter Creek and Green River from 1973 to1988.",Puyallup chinook were identified as a stock based on their distinct spawning distribution.,Data are: 1) total escapement estimates based on a new escapement estimation methodology developed in 1999. This method expands cumulative redd counts or area-under-the-curve from a variety of index reaches throughout the Puyallup River basin; 2) Escapement estiamtes since 1999 not comparable to earlier estimates.,"Spawning takes place in the mainstem Puyallup, Carbon, and White rivers, South Prairie Creek and various smaller tributaries.","Allozyme analysis of 1992 and 1993 South Prairie Creek naturally-spawning chinook showed that they are similar to Green River chinook and their hatchery derivatives including Hood Canal, Puyallup, Deschutes, Skykomish and Issaquah hatchery chinook (Marshall et al. 1995).",Tara Livingood,tara.livingood@dfw.wa.gov,01/27/2015 11:18:02 AM
1184,White River Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Puyallup River Chinook,"Interim Recovery = 1,000 unmarked (NOR) adults at Buckley trap with normal level of sport, commercial and tribal incidental harvest.  Upper mgmt threshold = 1,000.  Low abundance threshold = 200.  Rebuilding ER = 20% (total), Critical ER ceiling = 15% SUS",Ref 2;Ref 3,,"This stock is a native stock with composite production. A captive broodstock program was initiated in the 1970s but has since been discontinued. In addition to natural production, the stock is now propagated at the WDFW Hupp Springs Hatchery on the Kitsap Peninsula and at the Muckleshoot Tribe`s White River Hatchery. Any juveniles in excess of hatchery program needs are released from acclimation ponds in the upper White River above Mud Mountain Dam to supplement the naturally spawning component of the stock.","White River Chinook, formerly White River (Puyallup) spring chinook, were identified as a stock based on their early river entry (beginning in April), spawning timing, and genetic composition.","Data are counts of adult Spring Chinook spawners at the U.S. Army Corps of Engineers adult trap on the White River (RM 24.3) near Buckley, WA. Juveniles at the MIT White River Hatchery and the WDFW Hupp Springs Hatchery are released into the White River from acclimation ponds in the upper watershed, above Mud Mountain Dam. These juveniles are marked with left or right ventral fin clips. Adult chinook with ventral fin clips are included in the counts of White River spring chinook at the Buckley trap.","Spawning takes place in the mainstem White River, West Fork White River, in the lower reaches of the Clearwater and Greenwater rivers and in lower Huckleberry Creek. Spawning historically took place above Mud Mountain Dam.",Allozyme and DNA analyses have shown White River Chinook to be genetically distinct from all other Washington chinook stocks (Marshall et al. 1995). Recent microsatellite DNA analysis indicates that fall chinook are intermingled with spring chinook at the Buckley trap (Shaklee and Young in review).,Tara Livingood,tara.livingood@dfw.wa.gov,01/27/2015 11:18:02 AM
